YEAR,MEANINDEX_90UP,MAXINDEX_105UP,MAXINDEX_130UP,MININDEX_105UP,MEANINDEX_105UP,TOTAL_DAYS
1983,43,102,0,0,0,365
1984,13,88,0,0,0,366
1985,27,128,1,0,0,365
1986,32,128,0,0,0,365
1987,63,111,0,0,0,365
1988,36,124,0,0,0,366
1989,46,148,0,0,0,365
1990,32,142,0,0,0,365
1991,55,133,0,0,0,365
1992,42,122,0,0,0,366
1993,36,129,0,0,0,365
1994,38,144,0,0,0,365
1995,87,145,1,0,0,365
1996,53,117,0,0,0,366
1997,56,138,0,0,0,365
1998,98,150,1,0,0,365
1999,42,120,0,0,0,365
2000,23,125,0,0,0,366
2001,26,120,0,0,0,365
2002,48,139,0,0,0,365
2003,73,162,0,0,0,365
2004,42,124,0,0,0,366
2005,99,142,2,0,0,365
2006,39,143,0,0,0,365
2007,71,132,1,0,0,365
2008,35,109,0,0,0,366
2009,92,155,0,0,0,365
2010,98,137,2,0,0,365
2011,53,144,2,0,0,365
2012,61,117,0,0,0,366
2013,54,110,0,0,0,365
2014,62,125,0,0,0,365
2015,60,167,0,0,0,365
2016,108,134,0,0,0,366
2017,97,139,0,0,0,365
2018,91,131,0,0,0,365
2019,107,154,1,0,0,365
2020,106,152,0,0,0,366
2021,74,138,0,0,0,365
2022,104,144,0,0,0,365
