YEAR_STR,TMEAN,TDMEAN,TMEAN_INDEX,OVERALL_AVG_TEMP,OVERALL_AVG_INDEX,DEVIATION_TEMP,DEVIATION_INDEX
1983,74.98027397260273,66.15890410958905,75.3,75.882,76.3,-0.9017260273972738,-1.0
1984,74.57103825136612,66.00273224043715,74.9,75.882,76.3,-1.3109617486338863,-1.3999999999999915
1985,75.09095890410958,66.02082191780822,75.4,75.882,76.3,-0.7910410958904208,-0.8999999999999915
1986,75.80410958904109,67.14164383561643,76.2,75.882,76.3,-0.07789041095891491,-0.09999999999999432
1987,75.07424657534246,66.36301369863014,75.4,75.882,76.3,-0.8077534246575482,-0.8999999999999915
1988,74.93032786885246,66.15901639344263,75.3,75.882,76.3,-0.9516721311475465,-1.0
1989,75.77917808219179,66.97753424657535,76.2,75.882,76.3,-0.10282191780821393,-0.09999999999999432
1990,76.45506849315068,67.63972602739726,76.9,75.882,76.3,0.5730684931506715,0.6000000000000085
1991,76.41287671232877,68.32438356164384,76.9,75.882,76.3,0.5308767123287623,0.6000000000000085
1992,75.03387978142077,66.53469945355191,75.4,75.882,76.3,-0.8481202185792398,-0.8999999999999915
1993,75.54739726027397,67.01287671232878,75.9,75.882,76.3,-0.33460273972603716,-0.3999999999999915
1994,76.58712328767123,69.43835616438356,77.1,75.882,76.3,0.7051232876712277,0.7999999999999972
1995,75.7958904109589,68.40109589041096,76.3,75.882,76.3,-0.08610958904110078,0.0
1996,74.92677595628416,66.94071038251366,75.3,75.882,76.3,-0.9552240437158446,-1.0
1997,76.63506849315068,68.5158904109589,77.1,75.882,76.3,0.7530684931506784,0.7999999999999972
1998,76.526301369863,68.54739726027397,77.0,75.882,76.3,0.6443013698630011,0.7000000000000028
1999,75.06767123287672,67.17945205479452,75.5,75.882,76.3,-0.8143287671232855,-0.7999999999999972
2000,74.63934426229508,66.68196721311475,75.0,75.882,76.3,-1.242655737704922,-1.2999999999999972
2001,74.78986301369862,66.65780821917808,75.2,75.882,76.3,-1.0921369863013837,-1.0999999999999943
2002,75.92739726027398,68.0704109589041,76.4,75.882,76.3,0.045397260273972506,0.10000000000000853
2003,76.22,68.25397260273972,76.7,75.882,76.3,0.33799999999999386,0.4000000000000057
2004,75.2860655737705,66.64535519125683,75.7,75.882,76.3,-0.5959344262295048,-0.5999999999999943
2005,75.3131506849315,67.84876712328767,75.8,75.882,76.3,-0.5688493150685048,-0.5
2006,75.20986301369862,66.88986301369863,75.6,75.882,76.3,-0.672136986301382,-0.7000000000000028
2007,75.91643835616438,67.7068493150685,76.3,75.882,76.3,0.03443835616437241,0.0
2008,75.32786885245902,65.94890710382514,75.7,75.882,76.3,-0.5541311475409856,-0.5999999999999943
2009,75.66438356164383,66.65726027397261,76.0,75.882,76.3,-0.21761643835617406,-0.29999999999999716
2010,73.96438356164384,64.9331506849315,74.2,75.882,76.3,-1.9176164383561627,-2.0999999999999943
2011,75.93479452054795,67.3054794520548,76.3,75.882,76.3,0.05279452054794831,0.0
2012,76.02103825136612,67.26229508196721,76.4,75.882,76.3,0.13903825136611658,0.10000000000000853
2013,76.44164383561645,67.78301369863013,76.9,75.882,76.3,0.5596438356164413,0.6000000000000085
2014,76.17698630136987,67.15205479452055,76.6,75.882,76.3,0.29498630136986037,0.29999999999999716
2015,77.54301369863013,69.18821917808219,78.0,75.882,76.3,1.6610136986301285,1.7000000000000028
2016,76.83415300546447,68.39590163934426,77.3,75.882,76.3,0.9521530054644671,1.0
2017,76.67150684931507,68.9227397260274,77.2,75.882,76.3,0.7895068493150603,0.9000000000000057
2018,76.63890410958905,68.28246575342466,77.1,75.882,76.3,0.7569041095890441,0.7999999999999972
2019,77.42986301369864,69.34219178082192,77.9,75.882,76.3,1.547863013698631,1.6000000000000085
2020,77.43387978142076,69.50491803278689,78.0,75.882,76.3,1.5518797814207517,1.7000000000000028
2021,77.12575342465753,69.28712328767124,77.6,75.882,76.3,1.2437534246575268,1.2999999999999972
2022,77.56575342465753,69.7895890410959,78.1,75.882,76.3,1.6837534246575245,1.7999999999999972
