DATE,TMIN,TMAX,TMEAN,TDMEAN,TMIN_INDEX,TMAX_INDEX,TMEAN_INDEX,REL_HUMIDITY,MONTH_YEAR,YEAR,MONTH_YEAR_STR,YEAR_STR
1983-01-01,55.5910447761194,67.10298507462686,61.34626865671642,57.28507462686567,55.3,67.3,61.3,86.5,1983-01,1983,1983-01,1983
1983-01-02,57.08656716417911,68.80298507462687,62.94477611940299,59.405970149253726,56.9,69.2,63.0,88.2,1983-01,1983,1983-01,1983
1983-01-03,56.51044776119403,73.92835820895522,65.22537313432836,60.722388059701494,56.2,74.5,65.3,85.4,1983-01,1983,1983-01,1983
1983-01-04,46.028358208955225,63.69701492537313,54.86865671641791,49.06567164179105,45.1,63.6,54.4,80.8,1983-01,1983,1983-01,1983
1983-01-05,45.96268656716418,63.850746268656714,54.904477611940294,46.33880597014925,44.8,63.6,54.2,72.8,1983-01,1983,1983-01,1983
1983-01-06,44.647761194029854,59.938805970149254,52.297014925373134,47.026865671641794,43.7,59.7,51.7,82.2,1983-01,1983,1983-01,1983
1983-01-07,40.514925373134325,63.35970149253732,51.93731343283582,41.76865671641791,39.0,63.0,51.0,68.2,1983-01,1983,1983-01,1983
1983-01-08,41.86119402985074,67.71194029850746,54.786567164179104,46.96567164179104,40.6,67.7,54.1,74.9,1983-01,1983,1983-01,1983
1983-01-09,49.01641791044776,71.64029850746267,60.32388059701492,53.66567164179104,48.2,71.9,60.0,78.7,1983-01,1983,1983-01,1983
1983-01-10,54.13134328358209,73.65074626865672,63.8955223880597,58.36716417910448,53.6,74.1,63.9,82.2,1983-01,1983,1983-01,1983
1983-01-11,53.1865671641791,67.23432835820896,60.213432835820896,56.37014925373135,52.7,67.5,60.1,87.1,1983-01,1983,1983-01,1983
1983-01-12,43.134328358208954,67.23283582089553,55.17611940298508,43.62089552238806,41.7,67.0,54.3,65.0,1983-01,1983,1983-01,1983
1983-01-13,30.794029850746266,54.900000000000006,42.84477611940299,26.465671641791044,28.4,53.7,41.1,52.0,1983-01,1983,1983-01,1983
1983-01-14,30.72686567164179,57.994029850746266,44.35671641791045,28.17462686567164,28.4,57.0,42.7,52.7,1983-01,1983,1983-01,1983
1983-01-15,33.289552238805975,65.81343283582089,49.54477611940298,39.81492537313433,31.4,65.6,48.5,69.0,1983-01,1983,1983-01,1983
1983-01-16,31.816417910447758,65.9865671641791,48.897014925373135,34.708955223880594,29.6,65.5,47.6,57.8,1983-01,1983,1983-01,1983
1983-01-17,30.56417910447761,59.267164179104476,44.9089552238806,27.982089552238804,28.1,58.3,43.2,51.2,1983-01,1983,1983-01,1983
1983-01-18,31.38955223880597,62.491044776119395,46.92985074626866,29.85820895522388,29.0,61.7,45.3,51.2,1983-01,1983,1983-01,1983
1983-01-19,35.90298507462686,60.453731343283586,48.168656716417914,29.176119402985073,33.7,59.4,46.5,47.5,1983-01,1983,1983-01,1983
1983-01-20,39.10149253731343,59.60149253731343,49.35373134328358,36.84179104477612,37.4,58.9,48.1,61.9,1983-01,1983,1983-01,1983
1983-01-21,49.50149253731343,61.62686567164179,55.56268656716418,52.494029850746266,48.9,61.7,55.3,89.4,1983-01,1983,1983-01,1983
1983-01-22,50.24925373134328,67.35820895522389,58.80298507462687,53.45671641791045,49.5,67.5,58.5,82.4,1983-01,1983,1983-01,1983
1983-01-23,50.497014925373136,66.35373134328358,58.419402985074626,54.689552238805966,49.9,66.6,58.2,87.4,1983-01,1983,1983-01,1983
1983-01-24,39.41044776119403,61.776119402985074,50.58955223880597,47.113432835820895,38.3,61.8,50.0,87.8,1983-01,1983,1983-01,1983
1983-01-25,38.52985074626866,61.059701492537314,49.789552238805975,40.134328358208954,36.9,60.6,48.8,69.3,1983-01,1983,1983-01,1983
1983-01-26,36.53432835820896,62.344776119402994,49.44328358208955,38.592537313432835,34.8,61.9,48.3,66.1,1983-01,1983,1983-01,1983
1983-01-27,40.63731343283582,64.25671641791044,52.44626865671642,44.188059701492534,39.2,64.0,51.6,73.4,1983-01,1983,1983-01,1983
1983-01-28,45.286567164179104,67.61492537313433,56.44925373134328,50.46567164179104,44.3,67.7,56.0,80.3,1983-01,1983,1983-01,1983
1983-01-29,39.613432835820895,61.191044776119405,50.400000000000006,43.26865671641791,38.2,60.9,49.6,76.4,1983-01,1983,1983-01,1983
1983-01-30,42.91194029850746,68.8641791044776,55.88805970149254,50.191044776119405,41.8,69.1,55.4,81.1,1983-01,1983,1983-01,1983
1983-01-31,50.026865671641794,76.24328358208956,63.14029850746268,55.170149253731346,49.1,76.7,62.9,75.2,1983-01,1983,1983-01,1983
1983-02-01,52.85373134328358,74.88208955223881,63.865671641791046,56.505970149253734,52.2,75.3,63.7,77.0,1983-02,1983,1983-02,1983
1983-02-02,57.46716417910448,78.18059701492538,67.8223880597015,61.8955223880597,57.1,78.9,68.0,81.4,1983-02,1983,1983-02,1983
1983-02-03,47.528358208955225,71.05223880597015,59.29253731343283,50.4955223880597,46.5,71.2,58.8,72.6,1983-02,1983,1983-02,1983
1983-02-04,37.953731343283586,62.786567164179104,50.36865671641791,38.099999999999994,36.2,62.2,49.2,62.6,1983-02,1983,1983-02,1983
1983-02-05,37.452238805970154,60.44179104477612,48.94477611940299,32.525373134328355,35.4,59.6,47.5,52.9,1983-02,1983,1983-02,1983
1983-02-06,44.27014925373134,66.3910447761194,55.331343283582086,43.64626865671642,42.9,66.1,54.5,64.7,1983-02,1983,1983-02,1983
1983-02-07,51.16268656716418,69.62089552238807,60.38955223880597,56.3820895522388,50.6,70.0,60.3,86.6,1983-02,1983,1983-02,1983
1983-02-08,34.08358208955224,61.87164179104477,47.98805970149253,39.917910447761194,32.4,61.5,47.0,73.5,1983-02,1983,1983-02,1983
1983-02-09,33.35671641791045,60.03432835820896,46.69402985074627,32.77462686567164,31.2,59.3,45.2,58.1,1983-02,1983,1983-02,1983
1983-02-10,38.06417910447762,67.35671641791045,52.70597014925374,41.53731343283582,36.4,67.1,51.7,65.7,1983-02,1983,1983-02,1983
1983-02-11,50.267164179104476,68.31940298507462,59.29402985074626,56.06567164179105,49.7,68.7,59.2,89.1,1983-02,1983,1983-02,1983
