YEAR_STR,TMEAN,TDMEAN,TMEAN_INDEX,OVERALL_MED_TEMP,OVERALL_MED_INDEX,DEVIATION_TEMP,DEVIATION_INDEX
1983,71.14179104477611,61.56865671641791,71.2,72.429,72.6,-1.287208955223889,-1.3999999999999915
1984,71.40223880597014,62.55671641791045,71.6,72.429,72.6,-1.0267611940298593,-1.0
1985,73.85970149253733,64.76865671641791,74.1,72.429,72.6,1.4307014925373238,1.5
1986,72.86119402985075,64.07611940298509,73.1,72.429,72.6,0.4321940298507485,0.5
1987,70.2358208955224,61.6820895522388,70.3,72.429,72.6,-2.1931791044776077,-2.299999999999997
1988,70.30149253731344,61.03582089552239,70.4,72.429,72.6,-2.127507462686566,-2.1999999999999886
1989,72.155223880597,62.5955223880597,72.3,72.429,72.6,-0.27377611940299573,-0.29999999999999716
1990,72.4731343283582,63.99402985074627,72.7,72.429,72.6,0.044134328358197195,0.10000000000000853
1991,73.87761194029851,65.37761194029851,74.2,72.429,72.6,1.4486119402985054,1.6000000000000085
1992,70.9455223880597,61.95522388059702,71.1,72.429,72.6,-1.4834776119403017,-1.5
1993,70.96268656716418,61.66567164179105,71.1,72.429,72.6,-1.4663134328358183,-1.5
1994,73.38208955223881,65.51492537313433,73.7,72.429,72.6,0.9530895522388079,1.1000000000000085
1995,73.344776119403,64.28507462686568,73.6,72.429,72.6,0.9157761194029916,1.0
1996,71.3679104477612,63.01492537313433,71.5,72.429,72.6,-1.0610895522387978,-1.0999999999999943
1997,72.14626865671642,63.95373134328358,72.4,72.429,72.6,-0.2827313432835865,-0.19999999999998863
1998,73.03731343283582,65.08358208955224,73.3,72.429,72.6,0.6083134328358142,0.7000000000000028
1999,73.38507462686567,63.62089552238807,73.6,72.429,72.6,0.9560746268656715,1.0
2000,70.50746268656717,60.99402985074627,70.6,72.429,72.6,-1.921537313432836,-2.0
2001,71.15970149253731,62.2955223880597,71.3,72.429,72.6,-1.2692985074626932,-1.2999999999999972
2002,74.58059701492537,64.96119402985074,74.9,72.429,72.6,2.151597014925372,2.3000000000000114
2003,73.46865671641791,64.51194029850747,73.7,72.429,72.6,1.039656716417909,1.1000000000000085
2004,71.98432835820896,63.535074626865665,72.2,72.429,72.6,-0.44467164179104657,-0.3999999999999915
2005,70.45522388059702,61.8955223880597,70.6,72.429,72.6,-1.9737761194029844,-2.0
2006,71.7134328358209,61.701492537313435,71.8,72.429,72.6,-0.7155671641791059,-0.7999999999999972
2007,72.15223880597014,61.61492537313433,72.2,72.429,72.6,-0.2767611940298593,-0.3999999999999915
2008,71.40820895522388,61.3813432835821,71.5,72.429,72.6,-1.020791044776118,-1.0999999999999943
2009,72.35223880597016,64.17164179104478,72.6,72.429,72.6,-0.07676119402984227,0.0
2010,70.24925373134329,61.028358208955225,70.3,72.429,72.6,-2.1797462686567144,-2.299999999999997
2011,71.5865671641791,62.5044776119403,71.7,72.429,72.6,-0.842432835820901,-0.8999999999999915
2012,73.15820895522387,63.491044776119395,73.4,72.429,72.6,0.7292089552238679,0.8000000000000114
2013,71.82686567164178,64.4910447761194,72.1,72.429,72.6,-0.6021343283582183,-0.5
2014,70.70149253731343,63.05074626865671,70.9,72.429,72.6,-1.7275074626865745,-1.6999999999999886
2015,74.83731343283583,67.69253731343284,75.3,72.429,72.6,2.4083134328358256,2.700000000000003
2016,73.1365671641791,64.57014925373134,73.4,72.429,72.6,0.7075671641790962,0.8000000000000114
2017,72.8955223880597,64.53880597014926,73.2,72.429,72.6,0.46652238805970114,0.6000000000000085
2018,73.03134328358209,65.74626865671642,73.4,72.429,72.6,0.602343283582087,0.8000000000000114
2019,75.14179104477611,66.41791044776119,75.5,72.429,72.6,2.712791044776111,2.9000000000000057
2020,74.46268656716418,66.17238805970149,74.8,72.429,72.6,2.0336865671641817,2.200000000000003
2021,73.11940298507463,64.95820895522388,73.4,72.429,72.6,0.6904029850746269,0.8000000000000114
2022,73.22089552238806,64.64477611940298,73.5,72.429,72.6,0.7918955223880602,0.9000000000000057
