COUNTY,LONG,LAT,ELEV,DATE,RAINFALL,TMIN,TMEAN,TMAX,TDMEAN,VPDMIN,VPDMAX,MONTH_YEAR,YEAR,MONTH_YEAR_STR,YEAR_STR
Alachua,-82.3576,29.6748,147.0,2023-01-01,0.1,62.0,66.3,70.7,62.2,2.4,4.61,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-02,0.0,56.8,66.1,75.4,60.5,2.42,8.18,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-03,0.0,56.5,67.8,79.0,61.4,1.98,12.3,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-04,0.0,59.9,70.0,80.1,64.0,1.79,13.07,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-05,0.6,62.4,70.8,79.2,63.9,1.68,9.9,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-06,0.0,45.2,59.2,73.2,50.5,1.79,15.23,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-07,0.0,40.5,52.9,65.3,36.0,2.54,15.14,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-08,0.0,40.5,54.0,67.5,39.9,1.79,14.87,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-09,0.0,43.8,58.8,73.8,52.0,1.48,13.68,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-10,0.0,45.5,58.9,72.3,48.0,1.27,16.01,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-11,0.0,41.6,54.0,66.4,42.1,1.26,13.08,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-12,0.0,42.1,58.3,74.4,45.1,0.84,20.41,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-13,0.55,50.6,63.4,76.2,51.2,1.45,20.85,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-14,0.0,34.1,47.0,60.0,39.5,0.84,5.93,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-15,0.0,29.3,39.7,50.1,29.8,0.75,6.28,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-16,0.0,29.3,43.8,58.3,30.9,0.56,11.09,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-17,0.0,33.6,50.0,66.3,34.1,0.98,15.81,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-18,0.0,38.9,55.6,72.3,48.1,0.84,19.95,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-19,0.0,53.7,64.7,75.7,55.9,1.51,12.56,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-20,0.0,54.4,66.6,78.9,61.7,1.6,12.46,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-21,0.0,50.7,62.6,74.6,44.6,1.33,20.31,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-22,0.36,51.7,54.8,58.0,48.5,1.16,7.5,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-23,0.06,56.0,67.0,77.9,60.9,1.54,9.72,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-24,0.0,40.4,51.8,63.2,40.6,1.16,11.88,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-25,0.0,40.2,54.7,69.1,52.5,1.19,10.1,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-26,0.3,49.1,64.7,80.2,59.6,1.1,15.53,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-27,0.0,37.8,48.6,59.3,38.0,1.17,9.34,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-28,0.0,36.2,47.6,58.9,31.6,1.27,11.67,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-29,0.0,36.2,49.1,62.0,44.0,1.51,9.49,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-30,0.0,56.8,67.8,78.7,61.6,1.32,12.88,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-01-31,0.0,60.6,72.0,83.4,63.3,2.04,17.7,2023-01,2023,2023-01,2023
Alachua,-82.3576,29.6748,147.0,2023-02-01,0.0,58.9,70.7,82.6,62.5,2.06,17.14,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-02,0.0,56.6,67.3,78.0,60.3,1.78,11.4,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-03,0.0,57.0,68.2,79.4,62.4,2.15,14.89,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-04,0.39,40.4,54.6,68.8,45.0,1.02,5.81,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-05,0.0,41.0,53.6,66.1,48.3,0.82,8.76,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-06,0.0,49.5,61.8,74.2,52.4,1.37,13.8,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-07,0.0,47.6,60.1,72.5,45.9,1.29,17.81,2023-02,2023,2023-02,2023
Alachua,-82.3576,29.6748,147.0,2023-02-08,0.0,48.0,61.6,75.3,51.9,1.5,17.04,2023-02,2023,2023-02,2023
