PRISM Time Series Data
Locations: 67
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2023-01-01 - 2023-06-14
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jun-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Alachua,-82.3576,29.6748,147.0,2023-01-01,0.10,62.0,66.3,70.7,62.2,2.40,4.61
Alachua,-82.3576,29.6748,147.0,2023-01-02,0.00,56.8,66.1,75.4,60.5,2.42,8.18
Alachua,-82.3576,29.6748,147.0,2023-01-03,0.00,56.5,67.8,79.0,61.4,1.98,12.30
Alachua,-82.3576,29.6748,147.0,2023-01-04,0.00,59.9,70.0,80.1,64.0,1.79,13.07
Alachua,-82.3576,29.6748,147.0,2023-01-05,0.60,62.4,70.8,79.2,63.9,1.68,9.90
Alachua,-82.3576,29.6748,147.0,2023-01-06,0.00,45.2,59.2,73.2,50.5,1.79,15.23
Alachua,-82.3576,29.6748,147.0,2023-01-07,0.00,40.5,52.9,65.3,36.0,2.54,15.14
Alachua,-82.3576,29.6748,147.0,2023-01-08,0.00,40.5,54.0,67.5,39.9,1.79,14.87
Alachua,-82.3576,29.6748,147.0,2023-01-09,0.00,43.8,58.8,73.8,52.0,1.48,13.68
Alachua,-82.3576,29.6748,147.0,2023-01-10,0.00,45.5,58.9,72.3,48.0,1.27,16.01
Alachua,-82.3576,29.6748,147.0,2023-01-11,0.00,41.6,54.0,66.4,42.1,1.26,13.08
Alachua,-82.3576,29.6748,147.0,2023-01-12,0.00,42.1,58.3,74.4,45.1,0.84,20.41
Alachua,-82.3576,29.6748,147.0,2023-01-13,0.55,50.6,63.4,76.2,51.2,1.45,20.85
Alachua,-82.3576,29.6748,147.0,2023-01-14,0.00,34.1,47.0,60.0,39.5,0.84,5.93
Alachua,-82.3576,29.6748,147.0,2023-01-15,0.00,29.3,39.7,50.1,29.8,0.75,6.28
Alachua,-82.3576,29.6748,147.0,2023-01-16,0.00,29.3,43.8,58.3,30.9,0.56,11.09
Alachua,-82.3576,29.6748,147.0,2023-01-17,0.00,33.6,50.0,66.3,34.1,0.98,15.81
Alachua,-82.3576,29.6748,147.0,2023-01-18,0.00,38.9,55.6,72.3,48.1,0.84,19.95
Alachua,-82.3576,29.6748,147.0,2023-01-19,0.00,53.7,64.7,75.7,55.9,1.51,12.56
Alachua,-82.3576,29.6748,147.0,2023-01-20,0.00,54.4,66.6,78.9,61.7,1.60,12.46
Alachua,-82.3576,29.6748,147.0,2023-01-21,0.00,50.7,62.6,74.6,44.6,1.33,20.31
Alachua,-82.3576,29.6748,147.0,2023-01-22,0.36,51.7,54.8,58.0,48.5,1.16,7.50
Alachua,-82.3576,29.6748,147.0,2023-01-23,0.06,56.0,67.0,77.9,60.9,1.54,9.72
Alachua,-82.3576,29.6748,147.0,2023-01-24,0.00,40.4,51.8,63.2,40.6,1.16,11.88
Alachua,-82.3576,29.6748,147.0,2023-01-25,0.00,40.2,54.7,69.1,52.5,1.19,10.10
Alachua,-82.3576,29.6748,147.0,2023-01-26,0.30,49.1,64.7,80.2,59.6,1.10,15.53
Alachua,-82.3576,29.6748,147.0,2023-01-27,0.00,37.8,48.6,59.3,38.0,1.17,9.34
