PRISM Time Series Data
Locations: 67
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1985-01-01 - 1985-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jun-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Alachua,-82.3576,29.6748,147.0,1985-01-01,0.00,54.3,67.2,80.2,59.8,0.94,19.32
Alachua,-82.3576,29.6748,147.0,1985-01-02,0.00,59.7,69.7,79.7,61.1,0.48,18.62
Alachua,-82.3576,29.6748,147.0,1985-01-03,0.36,63.5,70.6,77.6,63.8,1.10,14.52
Alachua,-82.3576,29.6748,147.0,1985-01-04,0.19,52.7,61.3,69.9,61.3,0.60,4.40
Alachua,-82.3576,29.6748,147.0,1985-01-05,0.00,30.6,42.2,53.8,33.3,1.21,7.95
Alachua,-82.3576,29.6748,147.0,1985-01-06,0.00,30.6,41.0,51.3,29.3,0.71,7.59
Alachua,-82.3576,29.6748,147.0,1985-01-07,0.00,31.0,45.1,59.2,33.4,0.63,11.18
Alachua,-82.3576,29.6748,147.0,1985-01-08,0.00,37.2,52.6,67.9,45.7,0.54,12.85
Alachua,-82.3576,29.6748,147.0,1985-01-09,0.00,30.7,47.2,63.7,35.9,0.45,13.71
Alachua,-82.3576,29.6748,147.0,1985-01-10,0.00,33.8,50.2,66.6,43.4,0.15,15.28
Alachua,-82.3576,29.6748,147.0,1985-01-11,0.00,45.9,57.8,69.6,48.0,0.32,14.88
Alachua,-82.3576,29.6748,147.0,1985-01-12,0.00,33.8,51.3,68.8,42.9,0.66,13.83
Alachua,-82.3576,29.6748,147.0,1985-01-13,0.00,31.4,38.8,46.1,21.2,1.51,7.20
Alachua,-82.3576,29.6748,147.0,1985-01-14,0.00,33.0,44.0,55.0,25.0,2.40,11.94
Alachua,-82.3576,29.6748,147.0,1985-01-15,0.00,36.2,47.5,58.8,37.1,1.01,10.69
Alachua,-82.3576,29.6748,147.0,1985-01-16,0.00,28.6,43.3,57.9,25.1,1.00,13.24
Alachua,-82.3576,29.6748,147.0,1985-01-17,0.05,32.2,48.3,64.5,37.7,1.54,16.05
Alachua,-82.3576,29.6748,147.0,1985-01-18,0.13,48.6,60.0,71.5,55.6,1.32,8.67
Alachua,-82.3576,29.6748,147.0,1985-01-19,0.00,38.3,46.2,54.1,38.7,0.71,7.07
Alachua,-82.3576,29.6748,147.0,1985-01-20,0.07,35.4,50.4,65.5,36.0,0.35,16.89
Alachua,-82.3576,29.6748,147.0,1985-01-21,0.00,10.7,35.1,59.5,21.0,0.57,4.98
Alachua,-82.3576,29.6748,147.0,1985-01-22,0.00,10.6,20.4,30.3,3.9,1.00,4.22
