PRISM Time Series Data
Locations: 67
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2020-01-01 - 2020-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jun-15
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Alachua,-82.3576,29.6748,147.0,2020-01-01,0.00,40.0,52.8,65.5,39.8,0.22,14.04
Alachua,-82.3576,29.6748,147.0,2020-01-02,0.00,42.5,54.0,65.6,40.8,0.52,14.92
Alachua,-82.3576,29.6748,147.0,2020-01-03,0.00,46.8,62.1,77.5,57.1,0.42,17.98
Alachua,-82.3576,29.6748,147.0,2020-01-04,0.09,67.7,75.2,82.6,68.9,0.75,13.35
Alachua,-82.3576,29.6748,147.0,2020-01-05,0.57,40.7,56.8,73.0,50.4,0.62,9.00
Alachua,-82.3576,29.6748,147.0,2020-01-06,0.00,34.7,47.7,60.7,35.3,0.17,11.77
Alachua,-82.3576,29.6748,147.0,2020-01-07,0.00,35.1,51.2,67.4,37.7,0.17,16.61
Alachua,-82.3576,29.6748,147.0,2020-01-08,0.00,34.1,52.8,71.4,45.2,0.12,13.89
Alachua,-82.3576,29.6748,147.0,2020-01-09,0.00,33.8,49.1,64.5,34.3,0.12,14.84
Alachua,-82.3576,29.6748,147.0,2020-01-10,0.00,38.5,56.5,74.6,53.1,0.26,15.01
Alachua,-82.3576,29.6748,147.0,2020-01-11,0.00,55.2,67.0,78.7,62.9,0.15,14.74
Alachua,-82.3576,29.6748,147.0,2020-01-12,0.00,65.4,73.7,82.0,67.4,0.31,13.74
Alachua,-82.3576,29.6748,147.0,2020-01-13,0.00,66.7,75.1,83.5,67.7,0.57,16.77
Alachua,-82.3576,29.6748,147.0,2020-01-14,0.00,57.2,69.7,82.2,63.3,0.11,16.90
Alachua,-82.3576,29.6748,147.0,2020-01-15,0.00,57.1,69.0,81.0,64.3,0.10,14.10
Alachua,-82.3576,29.6748,147.0,2020-01-16,0.00,57.5,69.3,81.1,63.6,0.00,14.74
Alachua,-82.3576,29.6748,147.0,2020-01-17,0.00,55.7,67.2,78.7,61.3,0.05,11.63
Alachua,-82.3576,29.6748,147.0,2020-01-18,0.00,48.4,59.1,69.9,50.5,0.09,11.90
Alachua,-82.3576,29.6748,147.0,2020-01-19,0.03,49.1,62.6,76.0,56.7,0.07,15.39
Alachua,-82.3576,29.6748,147.0,2020-01-20,0.11,37.1,56.5,75.9,49.5,0.72,10.16
Alachua,-82.3576,29.6748,147.0,2020-01-21,0.00,32.0,44.2,56.4,32.2,0.70,8.41
Alachua,-82.3576,29.6748,147.0,2020-01-22,0.00,30.4,39.6,48.8,21.0,1.10,7.59
Alachua,-82.3576,29.6748,147.0,2020-01-23,0.00,30.8,43.3,55.9,37.7,1.42,6.75
Alachua,-82.3576,29.6748,147.0,2020-01-24,0.00,50.1,57.4,64.7,54.0,0.15,5.09
Alachua,-82.3576,29.6748,147.0,2020-01-25,0.01,46.1,59.5,73.0,57.9,0.08,8.83
Alachua,-82.3576,29.6748,147.0,2020-01-26,0.00,37.5,51.5,65.6,40.3,0.10,14.22
Alachua,-82.3576,29.6748,147.0,2020-01-27,0.00,37.2,51.0,64.8,42.5,0.24,13.68
Alachua,-82.3576,29.6748,147.0,2020-01-28,0.00,44.5,54.7,65.0,47.9,0.28,10.06
Alachua,-82.3576,29.6748,147.0,2020-01-29,0.00,35.4,50.5,65.7,38.6,0.09,14.49
Alachua,-82.3576,29.6748,147.0,2020-01-30,0.03,39.2,48.7,58.3,48.7,0.11,5.54
Alachua,-82.3576,29.6748,147.0,2020-01-31,0.00,51.2,56.3,61.4,51.3,0.33,4.87
Alachua,-82.3576,29.6748,147.0,2020-02-01,0.02,50.1,59.4,68.6,56.0,0.09,6.46
Alachua,-82.3576,29.6748,147.0,2020-02-02,0.00,41.2,50.8,60.5,47.7,0.16,4.66
Alachua,-82.3576,29.6748,147.0,2020-02-03,0.00,38.5,51.3,64.1,39.9,0.22,13.05
Alachua,-82.3576,29.6748,147.0,2020-02-04,0.00,38.2,56.3,74.5,47.0,0.10,18.04
Alachua,-82.3576,29.6748,147.0,2020-02-05,0.00,42.8,57.9,72.9,53.5,0.12,13.13
Alachua,-82.3576,29.6748,147.0,2020-02-06,0.00,54.7,67.0,79.4,63.4,0.59,14.71
Alachua,-82.3576,29.6748,147.0,2020-02-07,0.91,54.6,68.9,83.1,63.1,0.60,16.76
Alachua,-82.3576,29.6748,147.0,2020-02-08,0.00,35.5,47.6,59.8,33.9,0.66,12.05
Alachua,-82.3576,29.6748,147.0,2020-02-09,0.00,36.2,52.3,68.4,37.4,0.42,17.48
Alachua,-82.3576,29.6748,147.0,2020-02-10,0.00,42.6,57.8,73.0,50.3,0.05,15.80
Alachua,-82.3576,29.6748,147.0,2020-02-11,0.00,51.2,65.6,80.0,61.2,0.32,16.25
Alachua,-82.3576,29.6748,147.0,2020-02-12,0.00,64.2,73.2,82.3,66.8,0.18,15.90
Alachua,-82.3576,29.6748,147.0,2020-02-13,0.00,62.6,73.0,83.3,67.4,0.04,16.70
